Model,HR@5,HR@10,HR@20,MRR,Avg_Nutrition
1. Pure CF (NCF),0.4171939549233907,0.5201066778225174,0.6302881347068975,0.30951165289690047,15.002640276107305
2. Pure CBF (TF-IDF),0.14307378549390787,0.23123986822151335,0.37415677456466034,0.11367167616711701,17.83774747686033
3. Cascade CF -> CBF (k=50),0.17931286931966742,0.29090623856089526,0.36850912513726924,0.1296588714231494,16.733275375202638
4. Cascade CF -> CBF (k=20),0.2614129582178528,0.4139517858076662,0.4781153584688595,0.1741386372336989,15.238993881713121
5. Cascade CBF -> CF (k=50),0.35083407415154527,0.4309470271400931,0.49328034304240964,0.2670700882726252,15.182982795586467
6. Cascade CBF -> CF (k=20),0.24896721225749097,0.29927312660147465,0.3774512367306385,0.20273543160722585,16.753185431156194
"7. Cascade CF -> CBF -> Nutrition Filter (k=50, 20)",0.07164147884746118,0.12079694608586519,0.21502902264289075,0.06708044648821589,29.89849265282644
"8. Cascade CF -> CBF -> Nutrition Rerank (k=50, 20)",0.14009308162945144,0.2704596559117293,0.3509386602520525,0.10035137907408603,30.994906133974794
"Hybrid (cf=0.4, cbf=0.0, nutr=0.6)",0.07216440934999739,0.12979135072948805,0.32290958531611147,0.08153668951172392,82.4907307953773
"Hybrid (cf=0.4, cbf=0.1, nutr=0.5)",0.08602206766720703,0.16336348899231293,0.36903205563980546,0.09281800871075806,81.70400721644093
"Hybrid (cf=0.4, cbf=0.2, nutr=0.4)",0.12654918161376352,0.23239031532709303,0.4154159912147676,0.11438193822900355,79.51409088532134
"Hybrid (cf=0.4, cbf=0.3, nutr=0.3)",0.2230298593316948,0.3148041625268002,0.4672906970663599,0.17350005562423415,74.55475500705957
"Hybrid (cf=0.4, cbf=0.4, nutr=0.2)",0.312764733566909,0.3971134236260001,0.53025152957172,0.24118634973013905,63.76802829054018
"Hybrid (cf=0.4, cbf=0.5, nutr=0.1)",0.3830988861580296,0.4799979082779899,0.5966114103435654,0.288238830329791,39.70033127647336
"Hybrid (cf=0.4, cbf=0.6, nutr=0.0)",0.4017675050985724,0.5061967264550541,0.6212414370130209,0.2983959269696082,16.398604821419234
"Hybrid (cf=0.5, cbf=0.0, nutr=0.5)",0.11201171364325681,0.21628405584897767,0.40202897034984053,0.1065860834463193,79.99214845996968
"Hybrid (cf=0.5, cbf=0.1, nutr=0.4)",0.1856403284003556,0.2833760393243738,0.44015060398473044,0.15083420596576386,76.91054933849291
"Hybrid (cf=0.5, cbf=0.2, nutr=0.3)",0.267060607645244,0.3494221617946975,0.48203733723788106,0.21083425175165632,71.39269204622707
"Hybrid (cf=0.5, cbf=0.3, nutr=0.2)",0.33932960309574856,0.4178214715264341,0.5385661245620457,0.261109729177908,61.13178999111018
"Hybrid (cf=0.5, cbf=0.4, nutr=0.1)",0.4009831093447681,0.49715002876117764,0.6041939026303405,0.3014446913590145,39.4389998954139
"Hybrid (cf=0.5, cbf=0.5, nutr=0.0)",0.42101134759190506,0.5221983998326623,0.6371908173403754,0.3138311027380292,16.002301940072165
"Hybrid (cf=0.6, cbf=0.0, nutr=0.4)",0.22737018250274538,0.31626836793390156,0.45620457041259216,0.1843347743975833,74.09916304973069
"Hybrid (cf=0.6, cbf=0.1, nutr=0.3)",0.29320713277205457,0.3696595722428489,0.49469225539925743,0.23091659588864008,68.28420331537939
"Hybrid (cf=0.6, cbf=0.2, nutr=0.2)",0.3536056058149872,0.43084244103958586,0.5422789311300528,0.2718257987035773,58.19177561052136
"Hybrid (cf=0.6, cbf=0.3, nutr=0.1)",0.4094022904356011,0.5008105422789312,0.6069654342937824,0.30619828085093115,38.815360560581496
"Hybrid (cf=0.6, cbf=0.4, nutr=0.0)",0.4309470271400931,0.5328138890341474,0.6459237567327302,0.3189010940072838,15.662321027035507
"Hybrid (cf=0.7, cbf=0.0, nutr=0.3)",0.309993201903467,0.3847722637661455,0.504418762746431,0.2427647076348952,65.17784657219056
"Hybrid (cf=0.7, cbf=0.1, nutr=0.2)",0.3632275270616535,0.4388955707786435,0.5444229461904513,0.27772419064597437,55.24885922710872
"Hybrid (cf=0.7, cbf=0.2, nutr=0.1)",0.41138942634523873,0.5008628353291847,0.6051351775349056,0.3071889508899238,37.489318360089946
"Hybrid (cf=0.7, cbf=0.3, nutr=0.0)",0.430267217486796,0.5377817288082414,0.6506301312555561,0.31909868505376127,15.410014903519324
"Hybrid (cf=0.8, cbf=0.0, nutr=0.2)",0.3682999529362548,0.4460597186633896,0.5456779793965382,0.2808190039702927,52.45070830936568
"Hybrid (cf=0.8, cbf=0.1, nutr=0.1)",0.41097108194320975,0.5006013700779166,0.5986508393034565,0.3048226008258591,35.534442556084294
"Hybrid (cf=0.8, cbf=0.2, nutr=0.0)",0.42786173717512943,0.5346964388432778,0.6524080949641793,0.3167820198394371,15.186222350049679
"Hybrid (cf=0.9, cbf=0.0, nutr=0.1)",0.4069445170736809,0.49861423416827905,0.5932646551273336,0.30227902029131803,33.44852245986509
"Hybrid (cf=0.9, cbf=0.1, nutr=0.0)",0.42179574334570935,0.5281598075615751,0.6432568111697955,0.31356125767479365,15.059687549024735
"Hybrid (cf=1.0, cbf=0.0, nutr=0.0)",0.4171939549233907,0.5201066778225174,0.6302881347068975,0.30951165289690047,15.002640276107305
